Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P1299	Kotouň - Nepomuk	20,698	Ne	O			49° 28' 08.41616'' N	13° 37' 50.22101'' E
P1300	Kotouň - Nepomuk	20,917	Ne	O			49° 28' 10.85768'' N	13° 37' 40.27514'' E
P1301	Kotouň - Nepomuk	21,599	Ne	O			49° 28' 24.83874'' N	13° 37' 15.99932'' E
P1302	Kotouň - Nepomuk	22,216	Ne	O			49° 28' 41.67010'' N	13° 37' 07.99487'' E
P1303	Kotouň - Nepomuk	22,838	Ne	C			49° 28' 55.94455'' N	13° 36' 51.83210'' E
P1304	Kotouň - Nepomuk	22,965	Ne	O			49° 29' 00.06668'' N	13° 36' 51.14313'' E
P1305	Kotouň - Nepomuk	23,924	Ne	O			49° 29' 26.93523'' N	13° 36' 38.98574'' E
P1306	Březnice - HUDČICE	0,371	Ne	O		U Březnice	49° 33' 23.64967'' N	13° 58' 02.67953'' E
P1307	Březnice - HUDČICE	0,877	Ne	O		V Dubech	49° 33' 08.57573'' N	13° 58' 12.14340'' E
P1308	Březnice - HUDČICE	2,177	Ne	III.	1734	Martinice	49° 32' 46.05577'' N	13° 57' 32.43681'' E
P1309	Březnice - HUDČICE	4,447	Ne	II.	174	Stará hudčická zastávka	49° 32' 11.60843'' N	13° 56' 09.64952'' E
P1310	Březnice - HUDČICE	5,556	Ne	O		Pod Hudčicema	49° 31' 46.90751'' N	13° 56' 10.95167'' E
P1311	Březnice - HUDČICE	6,195	Ne	O		Hudčice zastávka	49° 31' 39.87887'' N	13° 55' 43.46742'' E
P1312	HUDČICE - Bělčice	6,478	Ne	O		Hudčice kamenolom	49° 31' 40.70853'' N	13° 55' 30.01872'' E
P1313	HUDČICE - Bělčice	7,009	Ne	II.	174	Koupský vršek	49° 31' 42.67409'' N	13° 55' 03.95711'' E
P1314	HUDČICE - Bělčice	7,783	Ne	O		Slavětín pod lesem	49° 31' 36.26322'' N	13° 54' 27.79627'' E
P1315	HUDČICE - Bělčice	8,591	Ne	O		Slavětín obrázek	49° 31' 31.30643'' N	13° 53' 49.05304'' E
P1316	HUDČICE - Bělčice	8,868	Ne	O		Slavětín zastávka	49° 31' 23.50719'' N	13° 53' 42.64774'' E
P1317	HUDČICE - Bělčice	9,121	Ne	O		Slavětín u rybníka	49° 31' 15.67549'' N	13° 53' 39.71684'' E
P1318	HUDČICE - Bělčice	9,597	Ne	O		Koupě začátek lesa	49° 31' 04.24450'' N	13° 53' 54.81816'' E
P1320	HUDČICE - Bělčice	10,525	Ne	O		Benzina Bělčice	49° 30' 42.06057'' N	13° 53' 47.44194'' E
P1321	HUDČICE - Bělčice	11,221	Ne	O		Pod Bělčicema u vlečky	49° 30' 31.65882'' N	13° 53' 17.25603'' E
P1322	Bělčice - Blatná	11,852	Ne	II.	174	Bělčice na Březnici	49° 30' 12.74934'' N	13° 53' 07.85147'' E
P1323	Bělčice - Blatná	11,962	Ne	III.	1736	Pod Bělčicema na rechli	49° 30' 09.66934'' N	13° 53' 05.02110'' E
P1324	Bělčice - Blatná	12,656	Ne	O		Bělčice pod višňovkou	49° 29' 49.44471'' N	13° 53' 05.25208'' E
P1325	Bělčice - Blatná	12,863	Ne	O		Pod Bělčicema	49° 29' 42.95035'' N	13° 53' 02.98089'' E
P1326	Bělčice - Blatná	13,576	Ne	O		U ovčína	49° 29' 26.18108'' N	13° 53' 23.88328'' E
P1327	Bělčice - Blatná	13,877	Ne	O		Pod ovčínem	49° 29' 20.02053'' N	13° 53' 14.05641'' E
P1328	Bělčice - Blatná	14,329	Ne	O		U smrku	49° 29' 15.35150'' N	13° 52' 53.35479'' E
P1329	Bělčice - Blatná	15,194	Ne	O		Pod smrkem	49° 28' 53.88061'' N	13° 52' 35.89195'' E
P1330	Bělčice - Blatná	15,454	Ne	O			49° 28' 57.61406'' N	13° 52' 24.51824'' E
P1331	Bělčice - Blatná	15,788	Ne	O		U Závišína	49° 28' 51.15714'' N	13° 52' 13.30489'' E
P1332	Bělčice - Blatná	16,279	Ne	O		Závišín	49° 28' 37.86315'' N	13° 52' 00.70372'' E
P1333	Bělčice - Blatná	17,505	Ne	O		Brod	49° 28' 02.16329'' N	13° 51' 50.18498'' E
P1334	Bělčice - Blatná	18,368	Ne	O		Bílý most	49° 27' 35.43934'' N	13° 51' 57.44195'' E
P1335	Bělčice - Blatná	18,67	Ne	O		U bílého mostu	49° 27' 25.75613'' N	13° 51' 59.84907'' E
P1336	Bělčice - Blatná	19,062	Ne	O		Chlum	49° 27' 13.22182'' N	13° 52' 02.89066'' E
P1337	Bělčice - Blatná	19,48	Ne	O		Chlumská dráha	49° 27' 00.08087'' N	13° 52' 07.47161'' E
P1338	Bělčice - Blatná	19,92	Ne	O		Bezdědovice u lesa	49° 26' 49.57238'' N	13° 52' 21.90078'' E
P1339	Bělčice - Blatná	20,26	Ne	MK		Bezdědovice	49° 26' 41.45383'' N	13° 52' 33.58938'' E
P1340	Bělčice - Blatná	20,478	Ne	O		Čistička Bezdědovice	49° 26' 36.67628'' N	13° 52' 41.52423'' E
P1341	Bělčice - Blatná	20,68	Ne	O		Bezdědovický zářez	49° 26' 31.95657'' N	13° 52' 48.34221'' E
P1342	Bělčice - Blatná	21,233	Ne	O		Hodáň	49° 26' 16.21425'' N	13° 52' 38.90111'' E
P1343	Bělčice - Blatná	21,533	Ne	O		Zahrádky	49° 26' 07.05696'' N	13° 52' 34.41701'' E
P1344	Bělčice - Blatná	21,823	Ne	II.	173	Směr Bělčice	49° 25' 57.86024'' N	13° 52' 31.24608'' E
P1345	Bělčice - Blatná	21,938	Ne	III.	1738	Směr Hajany	49° 25' 55.01720'' N	13° 52' 27.81603'' E
P1346	Blatná - Sedlice	22,559	Ne	MK		Depo	49° 25' 41.03268'' N	13° 52' 05.85196'' E
P1347	Blatná - Sedlice	22,692	Ne	C		U školy	49° 25' 37.46759'' N	13° 52' 03.43575'' E
P1348	Blatná - Sedlice	23,017	Ne	I.	20	Státní	49° 25' 26.79435'' N	13° 52' 05.05827'' E
P1349	Blatná - Sedlice	23,533	Ne	O		Sádlov BTF	49° 25' 10.59343'' N	13° 52' 11.52022'' E
P1350	Blatná - Sedlice	23,638	Ne	O		Luka	49° 25' 07.31758'' N	13° 52' 12.85048'' E
P1351	Blatná - Sedlice	23,802	Ne	O			49° 25' 02.21624'' N	13° 52' 14.93762'' E
P1352	Blatná - Sedlice	24,254	Ne	III.	1399	Zabořský	49° 24' 48.03287'' N	13° 52' 20.59821'' E
P1353	Blatná - Sedlice	24,341	Ne	O		Samota	49° 24' 45.22209'' N	13° 52' 20.62157'' E
P1354	Blatná - Sedlice	25,226	Ne	O		U rybníka	49° 24' 20.65898'' N	13° 52' 31.69595'' E
P1355	Blatná - Sedlice	25,431	Ne	O		Pod Mačkovem	49° 24' 15.55355'' N	13° 52' 37.54207'' E
P1356	Blatná - Sedlice	26,124	Ne	III.	1731	Mačkov	49° 24' 06.07685'' N	13° 53' 08.06545'' E
P1357	Blatná - Sedlice	27,333	Ne	O		Nad Hněvkovem	49° 23' 52.14500'' N	13° 54' 02.77611'' E
P1358	Blatná - Sedlice	27,752	Ne	O		Chaty Hněvkov	49° 23' 49.44886'' N	13° 54' 23.06808'' E
P1359	Blatná - Sedlice	28,436	Ne	O		Hněvkov les	49° 23' 39.67101'' N	13° 54' 53.24542'' E
P1360	Blatná - Sedlice	28,552	Ne	I.	20	Němčice	49° 23' 38.72920'' N	13° 54' 58.86565'' E
P1361	Blatná - Sedlice	28,87	Ne	MK		U Mařeny	49° 23' 34.50867'' N	13° 55' 12.72744'' E
P1362	Blatná - Sedlice	29,207	Ne	O		Mezi polema	49° 23' 30.69198'' N	13° 55' 28.10253'' E
P1363	Sedlice - Radomyšl	30,829	Ne	III.	1213	Škvořetický	49° 23' 03.97309'' N	13° 56' 16.39277'' E
P1364	Sedlice - Radomyšl	31,188	Ne	O		Vrbona	49° 22' 55.22266'' N	13° 56' 24.88739'' E
P1365	Sedlice - Radomyšl	31,608	Ne	O		U kostela Sedlice	49° 22' 43.09964'' N	13° 56' 29.51716'' E
P1366	Sedlice - Radomyšl	31,829	Ne	III.	1211	Mužetický	49° 22' 41.55625'' N	13° 56' 40.22642'' E
P1367	Sedlice - Radomyšl	33,149	Ne	I.	20	Písek státní	49° 22' 09.68903'' N	13° 57' 16.60403'' E
P1368	Sedlice - Radomyšl	33,591	Ne	O		Ovčín	49° 21' 56.68212'' N	13° 57' 21.57391'' E
P1369	Sedlice - Radomyšl	34,344	Ne	O			49° 21' 34.26120'' N	13° 57' 23.81038'' E
P1370	Sedlice - Radomyšl	34,654	Ne	O		Milava	49° 21' 24.81351'' N	13° 57' 18.63217'' E
P1371	Sedlice - Radomyšl	35,051	Ne	III.	1398	Ovčák	49° 21' 12.70955'' N	13° 57' 11.98723'' E
P1372	Sedlice - Radomyšl	35,425	Ne	O		Před Rojicema	49° 21' 02.35232'' N	13° 57' 02.70548'' E
P1373	Sedlice - Radomyšl	35,747	Ne	O		Rojice	49° 20' 52.64677'' N	13° 57' 02.09134'' E
P1374	Sedlice - Radomyšl	35,994	Ne	O		Turná u včel	49° 20' 45.27498'' N	13° 57' 06.46909'' E
P1375	Sedlice - Radomyšl	36,437	Ne	O		Turná škola	49° 20' 31.19124'' N	13° 57' 03.46609'' E
P1376	Sedlice - Radomyšl	37,017	Ne	O		Turná	49° 20' 15.46280'' N	13° 57' 18.09234'' E
P1377	Sedlice - Radomyšl	37,207	Ne	O		Pod Turnou	49° 20' 12.04384'' N	13° 57' 25.90188'' E
P1378	Sedlice - Radomyšl	37,355	Ne	O			49° 20' 08.63213'' N	13° 57' 31.00707'' E
P1380	Sedlice - Radomyšl	37,933	Ne	O		Jámy	49° 19' 51.51322'' N	13° 57' 34.67583'' E
P1381	Sedlice - Radomyšl	38,364	Ne	O		Stodola	49° 19' 39.25963'' N	13° 57' 36.87272'' E
P1383	Radomyšl - odb.vl. E.ON	39,83	Ne	II.	139	Radomyšl	49° 19' 12.12716'' N	13° 56' 51.81400'' E
P1384	Radomyšl - odb.vl. E.ON	40,843	Ne	O		Ke hřbitovu	49° 18' 57.40986'' N	13° 56' 07.03120'' E
P1385	Radomyšl - odb.vl. E.ON	41,061	Ne	O		Koptů	49° 18' 52.57855'' N	13° 55' 59.84260'' E
P1386	Radomyšl - odb.vl. E.ON	41,755	Ne	O		Pod Radomyšlí	49° 18' 38.16843'' N	13° 55' 35.70932'' E
P1387	Radomyšl - odb.vl. E.ON	42,253	Ne	II.	173	Domanice hlavní	49° 18' 24.65706'' N	13° 55' 23.88590'' E
P1388	Radomyšl - odb.vl. E.ON	42,812	Ne	O		Mezi polema Domanice	49° 18' 13.42264'' N	13° 55' 05.00928'' E
P1389	Radomyšl - odb.vl. E.ON	43,174	Ne	O		Domanice zastávka	49° 18' 02.96759'' N	13° 54' 56.81560'' E
P1390	Radomyšl - odb.vl. E.ON	43,299	Ne	O		Pod Domanicema	49° 17' 59.38465'' N	13° 54' 53.85615'' E
P1391	Radomyšl - odb.vl. E.ON	43,672	Ne	O		U mostu pod Domanicema	49° 17' 52.82236'' N	13° 54' 38.75227'' E
P1393	Radomyšl - odb.vl. E.ON	44,752	Ne	O		Mlýn	49° 17' 22.34399'' N	13° 54' 43.98675'' E
P1394	Radomyšl - odb.vl. E.ON	45,009	Ne	O			49° 17' 14.23331'' N	13° 54' 40.87858'' E
P1396	Radomyšl - odb.vl. E.ON	45,817	Ne	O		Řepice u rybníka	49° 16' 49.25942'' N	13° 54' 39.29649'' E
P1397	Radomyšl - odb.vl. E.ON	46,112	Ne	II.	173	Řepice VÚD	49° 16' 42.57284'' N	13° 54' 49.52202'' E
P1398	odb. vl. E.ON - Strakonice	47,121	Ne	O		Elektrárna	49° 16' 17.74145'' N	13° 55' 20.24680'' E
P1399	odb. vl. E.ON - Strakonice	47,279	Ne	MK		Pěší přechod	49° 16' 13.26141'' N	13° 55' 21.98497'' E
P1400	Rožmitál pod Třemšínem - Přední Poříčí	0,447	Ne	O			49° 35' 57.21648'' N	13° 53' 10.11568'' E
P1402	Rožmitál pod Třemšínem - Přední Poříčí	1,898	Ne	O			49° 35' 51.33053'' N	13° 54' 18.95764'' E
P1403	Rožmitál pod Třemšínem - Přední Poříčí	2,798	Ne	O			49° 35' 50.67811'' N	13° 55' 03.53418'' E
P1404	Rožmitál pod Třemšínem - Přední Poříčí	3,468	Ne	III.	193		49° 35' 48.14660'' N	13° 55' 36.14868'' E
P1405	Rožmitál pod Třemšínem - Přední Poříčí	4,47	Ne	O			49° 35' 31.59652'' N	13° 56' 10.31206'' E
P1406	Rožmitál pod Třemšínem - Přední Poříčí	4,597	Ne	III.	193		49° 35' 28.22879'' N	13° 56' 06.83311'' E
P1407	Rožmitál pod Třemšínem - Přední Poříčí	5,119	Ne	III.	193		49° 35' 15.16241'' N	13° 56' 16.07031'' E
P1408	Rožmitál pod Třemšínem - Přední Poříčí	5,47	Ne	MK			49° 35' 06.18933'' N	13° 56' 26.41064'' E
P1409	Rožmitál pod Třemšínem - Přední Poříčí	6,721	Ne	O			49° 34' 39.03459'' N	13° 57' 09.24596'' E
P1411	Putim - Ražice	2,62	Ano	O			49° 14' 35.43883'' N	14° 07' 16.53321'' E
P1412	Číčenice - Vodňany	0,721	Ne	O		U Faktora	49° 08' 49.97694'' N	14° 13' 19.76271'' E
P1413	Číčenice - Vodňany	1,206	Ne	O			49° 08' 37.39711'' N	14° 13' 02.77146'' E
P1414	Číčenice - Vodňany	1,552	Ne	III.	14116	U Dřemlin	49° 08' 30.22086'' N	14° 12' 52.99651'' E
P1415	Číčenice - Vodňany	2,932	Ne	O		Pod nadjezdem	49° 08' 31.14569'' N	14° 11' 52.80897'' E
P1417	Číčenice - Vodňany	4,233	Ne	III.	12243	Stará Budějovická	49° 08' 42.99007'' N	14° 10' 52.01879'' E
P1418	Vodňany - Bavorov	4,655	Ne	MK		Přechod u výkupu	49° 08' 40.07728'' N	14° 10' 31.46623'' E
P1419	Vodňany - Bavorov	4,874	Ne	III.	12250	Stožický	49° 08' 38.59274'' N	14° 10' 21.42040'' E
P1420	Vodňany - Bavorov	5,918	Ne	O			49° 08' 41.07835'' N	14° 09' 30.55631'' E
P1421	Vodňany - Bavorov	6,476	Ne	O			49° 08' 45.54290'' N	14° 09' 03.93124'' E
P1422	Vodňany - Bavorov	6,869	Ne	III.	14129	Pod Pražákem	49° 08' 48.68890'' N	14° 08' 44.96427'' E
P1423	Vodňany - Bavorov	7,278	Ne	MK		Přechod Pražák	49° 08' 50.77730'' N	14° 08' 25.17782'' E
P1424	Vodňany - Bavorov	7,71	Ne	C		Nad Pražákem	49° 08' 51.95494'' N	14° 08' 04.04217'' E
P1425	Vodňany - Bavorov	9,023	Ne	O		V Korázu	49° 08' 34.11991'' N	14° 07' 07.88897'' E
P1426	Vodňany - Bavorov	9,415	Ne	O		Před mostem	49° 08' 25.00974'' N	14° 06' 55.70417'' E
P1427	Vodňany - Bavorov	9,589	Ne	O		Za mostem	49° 08' 21.09048'' N	14° 06' 50.12264'' E
P1428	Vodňany - Bavorov	9,734	Ne	O		U Zemana	49° 08' 17.99537'' N	14° 06' 44.26360'' E
P1429	Vodňany - Bavorov	10,381	Ne	O		U Sosny	49° 08' 16.67938'' N	14° 06' 12.90587'' E
P1430	Vodňany - Bavorov	10,437	Ne	O			49° 08' 16.24628'' N	14° 06' 10.00971'' E
P1431	Vodňany - Bavorov	11,152	Ne	O		V polích	49° 08' 07.63998'' N	14° 05' 37.98764'' E
P1432	Vodňany - Bavorov	12,298	Ne	C		U pily	49° 07' 38.63287'' N	14° 05' 04.25881'' E
P1433	Bavorov - Strunkovice nad Blanicí	12,721	Ne	C		Pod školou	49° 07' 25.45517'' N	14° 04' 59.69009'' E
P1434	Bavorov - Strunkovice nad Blanicí	12,995	Ne	MK		Pěší	49° 07' 16.72010'' N	14° 05' 00.68546'' E
P1435	Bavorov - Strunkovice nad Blanicí	13,183	Ne	MK		U rybníka	49° 07' 11.40256'' N	14° 04' 56.25803'' E
P1436	Bavorov - Strunkovice nad Blanicí	13,462	Ne	II.	142	Netolická rampa	49° 07' 03.67342'' N	14° 04' 49.46419'' E
P1437	Bavorov - Strunkovice nad Blanicí	14,079	Ne	O		U Zacha	49° 06' 48.83550'' N	14° 04' 28.87023'' E
P1438	Bavorov - Strunkovice nad Blanicí	15,113	Ne	O		U buňky	49° 06' 20.46866'' N	14° 04' 09.07151'' E
P1439	Bavorov - Strunkovice nad Blanicí	15,658	Ne	O		U elektrárny 1	49° 06' 11.31024'' N	14° 04' 29.68163'' E
P1440	Bavorov - Strunkovice nad Blanicí	15,679	Ne	O		U elektrárny 2	49° 06' 10.67841'' N	14° 04' 29.91814'' E
P1441	Bavorov - Strunkovice nad Blanicí	16,098	Ne	O		U mostu	49° 05' 57.58357'' N	14° 04' 35.34473'' E
P1442	Bavorov - Strunkovice nad Blanicí	16,441	Ne	O		U zastávky Blanice	49° 05' 47.19228'' N	14° 04' 34.01086'' E
P1443	Bavorov - Strunkovice nad Blanicí	16,843	Ne	O		Blanička	49° 05' 38.00950'' N	14° 04' 20.41631'' E
P1444	Bavorov - Strunkovice nad Blanicí	17,103	Ne	O		U letiště 1	49° 05' 29.70928'' N	14° 04' 21.86642'' E
P1445	Bavorov - Strunkovice nad Blanicí	18,052	Ne	O		U letiště 2	49° 05' 03.59015'' N	14° 04' 01.29161'' E
P1446	Bavorov - Strunkovice nad Blanicí	18,474	Ne	III.	14226	Mexiko	49° 04' 53.81132'' N	14° 03' 47.28356'' E
P1447	Strunkovice nad Blanicí - Husinec	18,875	Ne	O		U sila	49° 04' 49.75549'' N	14° 03' 28.40187'' E
P1448	Strunkovice nad Blanicí - Husinec	19,112	Ne	O		U zahrádek	49° 04' 45.33069'' N	14° 03' 19.20762'' E
P1449	Strunkovice nad Blanicí - Husinec	20,694	Ne	O		V Kozlově	49° 04' 01.02532'' N	14° 02' 58.61277'' E
P1450	Strunkovice nad Blanicí - Husinec	21,55	Ne	O			49° 03' 46.18344'' N	14° 02' 22.37453'' E
P1451	Strunkovice nad Blanicí - Husinec	22,59	Ne	O			49° 03' 20.31041'' N	14° 01' 51.27653'' E
P1452	Strunkovice nad Blanicí - Husinec	23,151	Ne	O		Bělečský	49° 03' 04.36091'' N	14° 01' 38.12717'' E
P1455	Husinec - Prachatice	26,03	Ne	C		Straré Prachatice	49° 01' 40.95178'' N	14° 00' 44.30103'' E
P1456	Prachatice - Chroboly	27,918	Ne	III.	14128	Žernovický	49° 00' 44.70470'' N	14° 00' 23.43133'' E
P1456		0,268	ne	MK			49° 00' 44.71'' N	14° 00' 23.57'' E
P1457	Prachatice - Chroboly	28,028	Ne	III.	12259	K nemocnici	49° 00' 41.15250'' N	14° 00' 24.25435'' E
P1457		0,383	ne	MK			49° 00' 41.14'' N	14° 00' 24.38'' E
P1458	Prachatice - Chroboly	29,278	Ne	C		Na lázních	49° 00' 21.62440'' N	13° 59' 51.57330'' E
P1459	Prachatice - Chroboly	30,172	Ne	C		U kravína	49° 00' 04.90091'' N	14° 00' 24.73895'' E
P1460	Prachatice - Chroboly	31,064	Ne	O		U stromu	48° 59' 46.83355'' N	14° 00' 58.93542'' E
P1461	Prachatice - Chroboly	32,043	Ne	C		U Maršana	48° 59' 21.02648'' N	14° 01' 26.65667'' E
P1462	Prachatice - Chroboly	33,428	Ne	O			48° 58' 48.10736'' N	14° 02' 11.61063'' E
P1463	Prachatice - Chroboly	33,68	Ne	C		Na Rohanově	48° 58' 41.36835'' N	14° 02' 18.53667'' E
P1464	Prachatice - Chroboly	35,08	Ne	O		Pod Lučenicí	48° 58' 01.87190'' N	14° 02' 49.89604'' E
P1465	Prachatice - Chroboly	35,387	Ne	O		Lučenice na třicítce	48° 57' 55.15909'' N	14° 03' 00.58725'' E
P1466	Chroboly - Zbytiny	36,795	Ne	O		Chroboly	48° 57' 18.35833'' N	14° 03' 20.96832'' E
P1467	Chroboly - Zbytiny	37,303	Ne	III.	1431		48° 57' 02.94009'' N	14° 03' 21.12739'' E
P1468	Chroboly - Zbytiny	38,188	Ne	III.	1431	Pod Ovesnou	48° 56' 39.76201'' N	14° 03' 22.91569'' E
P1470	Chroboly - Zbytiny	39,443	Ne	O			48° 56' 18.27012'' N	14° 02' 52.52343'' E
P1471	Chroboly - Zbytiny	39,845	Ne	O			48° 56' 26.11404'' N	14° 02' 37.17510'' E
P1472	Chroboly - Zbytiny	40,368	Ne	O			48° 56' 36.04954'' N	14° 02' 20.77638'' E
P1473	Chroboly - Zbytiny	40,703	Ne	O		U černé boudy	48° 56' 37.08042'' N	14° 02' 04.96588'' E
P1474	Chroboly - Zbytiny	41,493	Ne	O		Na Skříněřově 1	48° 56' 43.31056'' N	14° 01' 28.66660'' E
P1475	Chroboly - Zbytiny	42,675	Ne	C		Na Skříněřově 2	48° 56' 44.52660'' N	14° 00' 35.63080'' E
P1476	Chroboly - Zbytiny	44,14	Ne	O			48° 56' 38.20493'' N	13° 59' 27.60201'' E
P1477	Chroboly - Zbytiny	44,64	Ne	O		U krávy	48° 56' 31.46780'' N	13° 59' 06.82837'' E
P1478	Chroboly - Zbytiny	44,968	Ne	O		U přejezdníku	48° 56' 24.47263'' N	13° 58' 55.09754'' E
P1479	Chroboly - Zbytiny	45,4	Ne	II.	165	Zbytiny	48° 56' 14.77532'' N	13° 58' 41.42479'' E
P1480	Zbytiny - Volary	46,443	Ne	O		Nad Zbytinama v lese	48° 55' 50.72328'' N	13° 58' 13.26260'' E
P1481	Zbytiny - Volary	46,957	Ne	O		Na Spálenci	48° 55' 34.51622'' N	13° 58' 10.29500'' E
P1483	Zbytiny - Volary	48,092	Ne	C		Na Magdalenu	48° 55' 40.11798'' N	13° 57' 28.62393'' E
P1484	Zbytiny - Volary	48,617	Ne	O			48° 55' 41.62539'' N	13° 57' 03.13115'' E
P1485	Zbytiny - Volary	49,857	Ne	O			48° 55' 39.37482'' N	13° 56' 05.65146'' E
P1486	Zbytiny - Volary	50,715	Ne	O		Na Rozvodí	48° 55' 31.14699'' N	13° 55' 27.59706'' E
P1487	Zbytiny - Volary	51,541	Ne	O		U buňky	48° 55' 05.32521'' N	13° 55' 34.29302'' E
P1488	Zbytiny - Volary	52,357	Ne	O			48° 54' 46.52911'' N	13° 55' 10.32246'' E
P1489	Zbytiny - Volary	53,151	Ne	O		Nad střelnicí	48° 54' 25.28933'' N	13° 54' 48.52948'' E
P1490	Zbytiny - Volary	53,595	Ne	O		Na střelnici	48° 54' 11.77346'' N	13° 54' 41.91602'' E
P1491	Zbytiny - Volary	54,492	Ne	O		U cikánů	48° 54' 20.75596'' N	13° 54' 04.72122'' E
P1492	Zbytiny - Volary	55,523	Ne	I.	39	Na Lipno	48° 54' 28.90061'' N	13° 53' 15.35100'' E
P1493	Volary - Černý Kříž	56,71	Ne	O		U Harvalíka	48° 54' 09.49156'' N	13° 52' 26.92481'' E
P1493	Lenora - Volary	69,943	Ne	O		U Harvalíka	48° 54' 09.49156'' N	13° 52' 26.92481'' E
P1494	Volary - Černý Kříž	57,995	Ne	O		V lese	48° 53' 28.70415'' N	13° 52' 17.34150'' E
P1495	Volary - Černý Kříž	61,25	Ne	O		Pod mostem	48° 51' 52.13637'' N	13° 51' 58.06380'' E
P1496	Volary - Černý Kříž	61,544	Ne	O		Pod Křížem	48° 51' 43.77474'' N	13° 51' 53.06131'' E
P1497	Černý Kříž - Stožec	62,13	Ne	O		Nad Křížem	48° 51' 35.60747'' N	13° 51' 27.89023'' E
P1498	Černý Kříž - Stožec	62,482	Ne	O			48° 51' 30.31048'' N	13° 51' 12.54867'' E
P1499	Černý Kříž - Stožec	63,147	Ne	O		Závora 1	48° 51' 39.49235'' N	13° 50' 48.56587'' E
P1500	Černý Kříž - Stožec	63,523	Ne	O			48° 51' 41.80133'' N	13° 50' 32.73842'' E
P1501	Černý Kříž - Stožec	63,945	Ne	O		Závora v lese 2	48° 51' 46.32868'' N	13° 50' 16.17345'' E
P1502	Černý Kříž - Stožec	64,364	Ne	O		Na dvacítce	48° 51' 54.75645'' N	13° 50' 02.76305'' E
P1503	Černý Kříž - Stožec	65,065	Ne	O		U čističky	48° 51' 44.06657'' N	13° 49' 33.54010'' E
P1504	Černý Kříž - Stožec	65,606	Ne	O		Pod Stožcem	48° 51' 33.60466'' N	13° 49' 14.87899'' E
P1505	Stožec - Nové Údolí	66,052	Ne	O		Nad Stožcem	48° 51' 19.28748'' N	13° 49' 16.00786'' E
P1506	Stožec - Nové Údolí	66,285	Ne	O			48° 51' 12.24311'' N	13° 49' 18.95111'' E
P1507	Stožec - Nové Údolí	66,466	Ne	O		U policajtů	48° 51' 07.07186'' N	13° 49' 14.83856'' E
P1508	Stožec - Nové Údolí	68,369	Ne	O		Závora 3	48° 50' 22.41384'' N	13° 48' 25.47666'' E
P1509	Stožec - Nové Údolí	69,52	Ne	O		Pod Údolím	48° 49' 56.74261'' N	13° 47' 49.23030'' E
P1510	dD3 Nové Údolí	69,815	Ne	O		Na Údolí	48° 49' 48.76529'' N	13° 47' 41.13458'' E
P1511	Číčenice - Záboří u Číčenic	1,22	Ne	MK		Ke Strpí	49° 08' 42.45158'' N	14° 13' 46.33507'' E
P1512	Číčenice - Záboří u Číčenic	2,439	Ne	O		Újezdec 1	49° 09' 02.04950'' N	14° 14' 35.26705'' E
P1513	Číčenice - Záboří u Číčenic	2,946	Ne	III.	14113	Újezdec 2	49° 09' 11.40546'' N	14° 14' 55.64508'' E
P1514	Číčenice - Záboří u Číčenic	3,164	Ne	II.	141	Hlavní k cihelně	49° 09' 13.94060'' N	14° 15' 05.81840'' E
P1515	Číčenice - Záboří u Číčenic	3,807	Ne	O		U lesa	49° 09' 24.18343'' N	14° 15' 33.03682'' E
P1516	žst. Záboří u Číčenic	4,955	Ne	III.	14110	Záboří 1	49° 09' 37.61857'' N	14° 16' 25.14501'' E
P1516		0,115	ne				49° 9' 37.5'' N	14° 16' 25.11'' E
P1517	žst. Záboří u Číčenic	5,529	Ne	O		Záboří u výhybky 5	49° 09' 40.62168'' N	14° 16' 52.96342'' E
P1518	Záboří u Číčenic - Temelín	6,545	Ne	O		Chvalešovice	49° 09' 53.22915'' N	14° 17' 38.27858'' E
P1519	Záboří u Číčenic - Temelín	7,002	Ne	O		Chvalešovice u dubu	49° 10' 05.70879'' N	14° 17' 48.23771'' E
P1520	Záboří u Číčenic - Temelín	7,928	Ne	O		Chvalešovice u rybníka 1	49° 10' 26.45663'' N	14° 18' 19.32294'' E
P1521	Záboří u Číčenic - Temelín	8,191	Ne	O		Chvalešovice u rybníka 2	49° 10' 33.95591'' N	14° 18' 24.85984'' E
P1522	Záboří u Číčenic - Temelín	9,053	Ne	III.	1415	Lhota pod Horami	49° 11' 00.01565'' N	14° 18' 39.32156'' E
P1523	Záboří u Číčenic - Temelín	10,175	Ne	O		Vojenský 1	49° 11' 32.91636'' N	14° 18' 58.56956'' E
P1524	Záboří u Číčenic - Temelín	10,425	Ne	O		Vojenský 2	49° 11' 39.09532'' N	14° 19' 06.48453'' E
P1525	Záboří u Číčenic - Temelín	11,337	Ne	O		U Pavlásků	49° 11' 37.55127'' N	14° 19' 44.81052'' E
P1526	Záboří u Číčenic - Temelín	12,156	Ne	O		Temelín 1	49° 11' 39.39803'' N	14° 20' 22.36767'' E
P1527	Záboří u Číčenic - Temelín	12,446	Ne	II.	138	Temelín hlavní	49° 11' 41.98871'' N	14° 20' 36.13112'' E
P1527		0,313	ne	II	138		49° 11' 42.98'' N	14° 20' 35.57'' E
